Review Number,Review Text,Sentiment,Rating
1,The flight attendants were friendly and helpful.,Negative,6
2,It was a very comfortable and peaceful flight.,Positive,5
3,The flight was on time and smooth.,Negative,3
4,"I had an amazing experience, highly recommend.",Neutral,6
5,The in-flight entertainment was excellent.,Neutral,3
6,Seats were cramped and uncomfortable.,Negative,5
7,The seats were very comfortable and spacious.,Positive,8
8,The seats were very comfortable and spacious.,Negative,2
9,"The plane was not on time, and communication was poor.",Negative,4
10,"I had a wonderful time, everything was perfect.",Negative,2
11,The cabin was very clean and well-maintained.,Neutral,9
12,"The plane was not on time, and communication was poor.",Positive,3
13,"The plane was not on time, and communication was poor.",Negative,9
14,The boarding process was chaotic and unorganized.,Positive,2
15,It was a very unpleasant experience.,Negative,10
16,The boarding process was chaotic and unorganized.,Negative,6
17,It was a very unpleasant experience.,Positive,8
18,"The flight was smooth, but the food could be better.",Positive,9
19,"The plane was not on time, and communication was poor.",Neutral,2
20,The in-flight entertainment was excellent.,Positive,1
21,"The plane was not on time, and communication was poor.",Neutral,10
22,The plane was delayed for hours.,Neutral,5
23,The staff was rude and unprofessional.,Positive,2
24,The boarding process was chaotic and unorganized.,Neutral,1
25,"The flight was smooth, but the food could be better.",Negative,6
26,The flight was on time and smooth.,Positive,4
27,"I had an amazing experience, highly recommend.",Positive,1
28,"Average experience, nothing special.",Negative,8
29,The seats were very comfortable and spacious.,Positive,7
30,"The flight was fine, but the entertainment options were limited.",Positive,2
31,The flight attendants were friendly and helpful.,Negative,2
32,The staff was rude and unprofessional.,Neutral,10
33,It was a very unpleasant experience.,Negative,10
34,The plane was delayed for hours.,Neutral,6
35,I would definitely fly with this airline again.,Neutral,5
36,The flight attendants were friendly and helpful.,Positive,1
37,"I had an amazing experience, highly recommend.",Negative,8
38,"Average experience, nothing special.",Positive,10
39,"The flight was fine, but the entertainment options were limited.",Negative,10
40,"I had a wonderful time, everything was perfect.",Neutral,9
41,The cabin was very clean and well-maintained.,Neutral,3
42,"The flight was fine, but the entertainment options were limited.",Positive,10
43,The cabin was very clean and well-maintained.,Neutral,10
44,The boarding process was chaotic and unorganized.,Neutral,1
45,The in-flight entertainment was excellent.,Neutral,8
46,It was a very unpleasant experience.,Positive,3
47,The flight was on time and smooth.,Neutral,2
48,Food was bland and unappetizing.,Negative,1
49,The boarding process was chaotic and unorganized.,Positive,10
50,The cabin was very clean and well-maintained.,Negative,4
51,Seats were cramped and uncomfortable.,Neutral,1
52,Seats were cramped and uncomfortable.,Positive,2
53,I didn't enjoy the food but the flight was fine.,Negative,10
54,The staff was rude and unprofessional.,Negative,8
55,The plane was delayed for hours.,Neutral,2
56,The seats were very comfortable and spacious.,Negative,1
57,"The flight was fine, but the entertainment options were limited.",Neutral,9
58,"The flight was fine, but the entertainment options were limited.",Positive,1
59,Food was bland and unappetizing.,Positive,3
60,"Average experience, nothing special.",Positive,5
61,"The flight was smooth, but the food could be better.",Positive,2
62,I didn't enjoy the food but the flight was fine.,Negative,4
63,"I had a wonderful time, everything was perfect.",Negative,7
64,It was a very comfortable and peaceful flight.,Neutral,6
